City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
180,saurimo,-9.66,20.39,86.0,42,100,5.82,AO,1600517998
181,provideniya,64.38,-173.3,41.18,73,74,5.01,RU,1600517999
182,iqaluit,63.75,-68.51,32.0,92,90,10.29,CA,1600517999
183,mendi,-6.18,143.65,56.82,98,100,2.24,PG,1600517999
184,avera,33.19,-82.53,66.99,93,1,10.29,US,1600517999
185,nizhniy mamon,50.19,40.51,61.48,44,81,18.54,RU,1600517999
186,zhigansk,66.77,123.37,44.55,68,0,8.66,RU,1600517999
187,colares,38.8,-9.45,71.6,77,90,11.41,PT,1600518000
188,butaritari,3.07,172.79,82.09,76,100,13.24,KI,1600518000
189,ust-nera,64.57,143.2,42.58,73,100,4.81,RU,1600518000
190,awjilah,29.11,21.29,91.47,25,0,11.54,LY,1600518000
191,sire,12.93,5.2,97.47,32,90,10.49,NG,1600518001
192,tigil,57.8,158.67,36.05,84,0,7.36,RU,1600518001
193,acapulco,16.86,-99.89,78.19,80,95,8.25,MX,1600517939
194,bonavista,48.65,-53.11,52.79,91,100,26.49,CA,1600518001
195,port hedland,-20.32,118.57,75.2,78,21,9.17,AU,1600517725
196,kaeo,-35.1,173.78,50.0,3,2,1.99,NZ,1600518001
197,saint-michel-des-saints,46.68,-73.92,33.37,89,1,3.8,CA,1600518002
198,sangin,32.07,64.84,90.43,11,0,12.59,AF,1600518002
199,thinadhoo,0.53,72.93,83.53,74,12,9.28,MV,1600518002
200,richards bay,-28.78,32.04,73.27,62,58,13.56,ZA,1600518002
201,mayo,38.89,-76.51,55.99,66,1,9.17,US,1600518002
202,komsomolskiy,40.43,71.72,66.2,37,48,6.93,UZ,1600518003
203,mahon,39.89,4.27,82.4,74,20,14.99,ES,1600518003
204,wete,-5.06,39.73,82.96,59,10,10.54,TZ,1600518003
205,muisne,0.6,-80.03,74.05,90,100,8.84,EC,1600518003
206,gewane,10.17,40.65,98.15,22,0,2.64,ET,1600518003
207,brooks,50.58,-111.89,56.88,54,95,5.73,CA,1600517704
208,machala,-3.27,-79.97,71.31,87,100,3.04,EC,1600518004
209,norrtalje,59.76,18.7,61.0,47,0,8.05,SE,1600518004
210,nganjuk,-7.61,111.9,80.53,65,44,4.36,ID,1600518004
211,broome,42.25,-75.83,39.2,60,1,9.17,US,1600518005
212,adrar,20.5,-10.07,95.49,32,0,5.06,MR,1600518005
213,anloga,5.79,0.9,86.0,66,20,5.82,GH,1600518006
214,shingu,33.73,135.98,70.32,83,70,3.96,JP,1600518006
215,qasigiannguit,68.82,-51.19,33.8,86,90,11.41,GL,1600518006
216,martapura,-3.42,114.85,84.2,70,75,9.17,ID,1600517848
217,north bend,43.41,-124.22,61.0,100,90,4.61,US,1600517970
218,kon tum,14.35,108.0,72.25,92,98,1.83,VN,1600518007
219,yeppoon,-23.13,150.73,71.6,68,40,6.93,AU,1600518007
220,kharan,28.58,65.42,94.42,10,0,4.7,PK,1600518007
221,usinsk,65.99,57.53,43.27,65,100,8.55,RU,1600518007
222,carnot,4.94,15.87,78.35,85,100,4.0,CF,1600518007
223,lermontovka,47.15,134.34,47.77,95,71,4.72,RU,1600518008
224,tasiilaq,65.61,-37.64,39.2,87,20,13.87,GL,1600518008
225,niceville,30.52,-86.48,75.0,83,40,8.05,US,1600517994
226,sitka,57.05,-135.33,48.2,93,90,3.36,US,1600517815
227,balakhninskiy,58.01,114.28,47.01,67,20,3.33,RU,1600518009
228,srednekolymsk,67.45,153.68,41.18,82,99,12.55,RU,1600518009
229,lebowakgomo,-24.2,29.5,89.6,24,1,5.82,ZA,1600518009
230,port hardy,50.7,-127.42,55.4,100,90,4.7,CA,1600518010
231,tulun,54.56,100.58,46.54,88,96,6.22,RU,1600518010
232,muzaffarnagar,29.47,77.68,90.34,52,11,5.68,IN,1600518010
233,airai,-8.93,125.41,61.65,100,72,2.1,TL,1600518010
234,whitianga,-36.83,175.7,44.01,93,10,4.85,NZ,1600518011
235,grindavik,63.84,-22.43,48.2,81,75,34.45,IS,1600518011
236,nantucket,41.28,-70.1,59.0,54,40,14.99,US,1600518011
237,phalombe,-15.81,35.65,90.23,21,22,1.81,MW,1600518011
238,ambon,-3.7,128.18,77.0,94,75,8.05,ID,1600518011
239,arraial do cabo,-22.97,-42.03,75.2,78,40,6.93,BR,1600518011
240,veraval,20.9,70.37,85.53,76,33,9.57,IN,1600517722
241,xining,36.62,101.77,60.22,58,32,10.27,CN,1600518012
242,campoverde,-8.48,-74.81,73.58,92,90,2.64,PE,1600518012
243,acajutla,13.59,-89.83,69.01,100,35,4.14,SV,1600518012
244,birin,26.89,88.07,69.12,99,28,1.25,NP,1600518012
245,kamenka,51.32,42.77,53.01,69,77,17.02,RU,1600518013
246,linhares,-19.39,-40.07,79.18,60,20,9.33,BR,1600518014
247,colesberg,-30.72,25.1,79.68,13,2,18.57,ZA,1600518014
248,afogados da ingazeira,-7.75,-37.64,79.03,47,34,6.6,BR,1600518014
249,leningradskiy,69.38,178.42,33.17,93,96,9.33,RU,1600518014
250,havre-saint-pierre,50.23,-63.6,39.2,63,90,2.24,CA,1600518014
251,hengyang,26.89,112.61,69.57,89,77,3.98,CN,1600518015
252,pangoa,-12.12,-73.0,68.16,91,98,2.86,PE,1600518015
253,rio cuarto,-33.13,-64.35,46.4,31,0,16.11,AR,1600518015
254,sinnamary,5.38,-52.95,82.51,76,99,11.21,GF,1600518015
